Config_21,Config_130,Config_63,Config_105,Config_152,Unnamed: 5,Metric,Value (seconds)
0.1115274,0.0076375,0.0055301,0.0138028,0.0579416,,Total Time,267.68300008773804
0.0030641,0.0067339,0.0079342,0.0257871,0.0783422,,Average Time,0.0141088968
0.0033058,0.0062093,0.0054972,0.0062971,0.0064553,,Median Time,0.0063393500000000005
0.0034544,0.0055266,0.0056284,0.0065572,0.1142686,,Min Time,0.0030157
0.0035755,0.0054336,0.0051454,0.0069887,0.0060883,,Max Time,0.6541278
0.0032013,0.0050349,0.0051245,0.0066846,0.0061665,,,
0.0034992,0.0060512,0.0072604,0.0056629,0.0063333,,,
0.0038537,0.012567,0.0092739,0.0231388,0.0224204,,,
0.0032672,0.0064633,0.0670853,0.0090056,0.0060987,,,
0.0032504,0.0059464,0.0064216,0.0110765,0.0175596,,,
0.0032906,0.0058158,0.0067506,0.0049283,0.0065696,,,
0.0032962,0.0049744,0.0057747,0.0064045,0.0060467,,,
0.0036381,0.0065331,0.0088618,0.0069841,0.0230274,,,
0.0032599,0.0073465,0.0425305,0.0079663,0.0744467,,,
0.0032546,0.005097,0.0063931,0.0064788,0.0059523,,,
0.0036843,0.0049803,0.0087199,0.0085608,0.0190624,,,
0.0033593,0.0081398,0.0067633,0.0119118,0.0210084,,,
0.0035904,0.0051458,0.006509,0.0057278,0.007639,,,
0.003402,0.0053541,0.005594,0.0068644,0.0061379,,,
0.0033232,0.0049303,0.0076076,0.0083226,0.0062003,,,
0.0032331,0.0060042,0.025345,0.0083604,0.1202027,,,
0.0032612,0.0071716,0.0098255,0.0277474,0.0182544,,,
0.0032143,0.0061397,0.0073707,0.0052898,0.0060644,,,
0.0034383,0.0051751,0.0059308,0.005431,0.0071568,,,
0.003199,0.0059918,0.0069193,0.0108343,0.0669113,,,
0.0031973,0.0070689,0.0094359,0.023099,0.0218719,,,
0.0032974,0.0049988,0.005312,0.0063331,0.0066654,,,
0.0031848,0.0049711,0.0058278,0.0064572,0.0060503,,,
0.0031546,0.0052326,0.0066288,0.0160317,0.0081748,,,
0.0032657,0.0052372,0.0056951,0.0062335,0.0057124,,,
0.003176,0.0061815,0.0054816,0.0072685,0.0059458,,,
0.0033953,0.0049924,0.0067918,0.0052699,0.0071551,,,
0.0033708,0.0058951,0.0064855,0.0069361,0.0058487,,,
0.0031913,0.0046097,0.0056814,0.005949,0.0067086,,,
0.0032772,0.0071248,0.0163015,0.0915039,0.404192,,,
0.0032664,0.0054069,0.0055887,0.0051691,0.0068625,,,
0.0037201,0.0051815,0.0063278,0.0090794,0.00688,,,
0.0032353,0.0063445,0.0113275,0.0080296,0.1098232,,,
0.0034779,0.007854,0.0096538,0.0220838,0.0710299,,,
0.0031343,0.0096337,0.0086555,0.0187202,0.0214121,,,
0.0032213,0.0064413,0.0064502,0.0067482,0.0059465,,,
0.003436,0.0053953,0.0053339,0.0101474,0.0065853,,,
0.0031087,0.0068596,0.0136744,0.0224261,0.0184727,,,
