f1,f2,f3,f4,a1,a2,a3,a4,Kaibel Column (Configuration 21),Agrawal Column (Configuration 130),Configuration 63 (ABC Absent),Configuration 105 (BCD Absent),Sargent Column (Configuration 152)
5,5,5,85,15.625,6.25,2.5,1,70.53375232692105,67.60849164233301,68.33141637716452,67.1350317834378,67.1350318000044
5,5,10,80,15.625,6.25,2.5,1,80.33910557460928,74.5040482940525,75.98731048057326,73.66382563692966,73.66382565347826
5,5,15,75,15.625,6.25,2.5,1,89.74217914645868,80.98276118451119,83.25403081523226,79.84336097996703,79.84336099651091
5,5,20,70,15.625,6.25,2.5,1,98.8929045328826,87.18520187850913,90.26610107502844,85.79436420460439,85.79436422116305
5,5,25,65,15.625,6.25,2.5,1,107.87278617135718,93.1905138198571,97.09847300543316,91.58409969770304,91.58409971427943
5,5,30,60,15.625,6.25,2.5,1,116.73085516599835,99.0480927871578,103.79745714260935,97.25412819696882,97.25412821347012
5,5,35,55,15.625,6.25,2.5,1,125.49870904219003,104.79099049966871,110.39374726390321,102.83199539995695,102.83199541635233
5,5,40,50,15.625,6.25,2.5,1,134.19776033730685,110.4424643178244,116.90875125419697,108.33691351068711,108.33691352732902
5,5,45,45,15.625,6.25,2.5,1,142.84309088334425,116.01951648434869,123.35799250653034,113.78281377987281,113.78281379653913
5,5,50,40,15.625,6.25,2.5,1,151.44565555577992,121.53495488833701,129.75307843463872,119.1801131170619,119.18011313375564
5,5,55,35,15.625,6.25,2.5,1,160.01361492560306,126.99866434045416,136.10290724802522,124.53679709161898,124.53679711160629
5,5,60,30,15.625,6.25,2.5,1,168.55317797979106,132.41842780813278,142.41444259150157,129.85911513817484,129.8591151549273
5,5,65,25,15.625,6.25,2.5,1,177.06915488444253,137.8004772770707,148.69322988375183,135.1520439047353,135.15204392150653
5,5,70,20,15.625,6.25,2.5,1,185.56533081383213,143.14987501139322,154.94375147824664,140.4196060194379,140.4196060362532
5,5,75,15,15.625,6.25,2.5,1,194.0447254257502,148.4707845104118,161.16967755989006,145.66509523800408,145.66509525485733
5,5,80,10,15.625,6.25,2.5,1,202.50977704704448,153.76666749135225,167.37404749338808,150.8912391954124,150.89123921230174
5,5,85,5,15.625,6.25,2.5,1,210.96247599962993,159.0404299351489,173.5594035375589,156.10031940598398,156.1003194229136
